"Biochar Name","Feedstock Composition","Optional comments about Feedstock","Commercial","Geographic Region","Manufacturer","Pyrolysis Method","Source: Peer Reviewed Publication","Reference","Moisture (%)","Temperature (C)","Total Ash Content (%)","C Organic (%)  ","Total C (%) Used in Plot","Total N (%)","H (%)","O (%)","pH","EC (dS/m)","Mean Particle Size (mm)","Germination Inhibition","Polycylic Aromatic Hydrocarbons (mg/kg)","Dioxin/Furan (mg/kg)","Polychlorinated Biphenyls (mg/kg)","Arsenic (mg/kg)","Cadmium (mg/kg)","Chromium (mg/kg)","Cobalt (mg/kg)","Copper (mg/kg)","Lead (mg/kg)","Molybdenum (mg/kg)","Mercury (mg/kg)","Nickel (mg/kg)","Selenium (mg/kg)","Zinc (mg/kg)","Boron (mg/kg)","Chlorine (mg/kg)","Sodium (mg/kg)","Previous Page","Cation Exchange Capacity (cmolc/kg)","Method Summary/Reference","Volatile Matter (%)","Total Surface Area (m2/g)","Method Summary/Reference","Extractable P (mg/kg)","Total P (mg/kg)","Calcium (mg/kg)","Magnesium (mg/kg)","Potassium (mg/kg)","Aluminum (mg/kg)","Iron (mg/kg)","Elemental extraction method",
"MW 550","Hard Wood","Mesquite Wood","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","2.9","550","6.1","","79.8","1.3","2.4","10.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MW 600","Hard Wood","Mesquite Wood","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","3.0","600","6.7","","80.2","1.1","1.9","10.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MW 700","Hard Wood","Mesquite wood","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","4.3","700","5.4","","84.3","0.7","1.1","8.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SS 500","Sludge","Sewage Sludge","Non commercial","Beijing, China","","Fast","Yes","Chen, T et al., Bioresource Technology 164 (2014) 47-54.","","500","74.21","","17.46","1.54","0.70","10.449","8.81","","","","","","","","3.37","100.34","","202.44","51.52","","","","","","","","1173.02","","76.75","","","25.424","BET Analysis","","18185.58","59286.90","14736.07","8518.52","28417.35","31123.70","",
"SS 600","Sludge","Sewage Sludge","Non commercial","Beijing, China","","Fast","Yes","Chen, T et al., Bioresource Technology 164 (2014) 47-54.","","600","77.90","","18.40","1.38","0.34","7.353","9.54","","","","","","","","3.70","100.94","","208.48","","","","","","","","","1724.09","","30.81","","","20.268","BET Analysis","","18760.23","62719.38","15457.60","8498.59","28332.37","33606.39","",
"SS 700","Sludge","Sewage Sludge","Non commercial","Beijing, China","","Fast","Yes","Chen, T et al., Bioresource Technology 164 (2014) 47-54.","","700","81.53","","16.92","0.95","0.21","6.860","11.11","","","","","","","","","114.58","","242.30","","","","","","","","","1383.51","","50.34","","","32.167","BET Analysis ","","20350.03","64373.64","16369.21","9938.32","32848.06","35326.67","",
"SS 800","Sludge","Sewage sludge","Non commercial","Beijing, China","","Fast","Yes","Chen, T et al., Bioresource Technology 164 (2014) 47-54.","","800","83.93","","16.20","0.50","0.03","3.641","12.18","","","","","","","","","105.81","","201.49","","","","","","","","","1930.98","","126.62","","","48.499","BET Analysis","","19348.41","65839.62","16573.98","9289.42","34454.77","35769.17","",
"SS 900","Sludge","Sewage Sludge","Non commercial","Beijing, China","","Fast","Yes","Chen, T et al., Bioresource Technology 164 (2014) 47-54.","","900","88.07","","15.92","0.53","0.11","2.439","12.15","","","","","","","","","112.02","","183.71","5.81","","","","","","","","3417.89","","247.51","","","67.603","BET Analysis","","20238.78","69560.08","17523.36","8684.18","35501.94","37202.34","",
"Furfural 300","Other/ Mixed","corncob after industrial distilliation","Non commercial","","","Slow","Yes","Wu, Y et al., Solid Earth 5, 2 (2014) 665-671.","","300","28.79","","50.64","1.15","","","4.5","2.7","","","","","","","","","","","","","","","","","","","1190","","41.8","","19.6","","","","1222","9156","1377","11616","","","",
"FW 900","Wood","Fruitwood","Non commercial","","","Slow","Yes","Zhang, J et al., Journal of Environmental Sciences 26, 2 (2014) 390-397.","","900","5.49","","83.16","0.40","3.24","7.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BB 900","Grass","Bamboo","Non commercial","","","Slow","Yes","Zhang, J et al., Journal of Environmental Sciences 26, 2 (2014) 390-397.","","900","1.32","","83.29","0.40","3.08","11.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"RH 600","Hull","Rice Husk","Non commercial","","","Slow","Yes","Zhang, J et al., Journal of Environmental Sciences 26, 2 (2014) 390-397.","","600","27.60","","51.06","0.66","2.60","17.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"GS 900","Hard Wood","Gliricidia sepium","Non commercial","","","Slow","Yes","Herath, I et al., Journal of Soils and Sediments (2014) 1-13.","6.50","900","70","","50","0.5","1","44","10.10","","","","","","","","","","","","","","","","","","","","","","","","","714","BET Analysis","","","","","","","","",
"SW 600","Soft Wood","Sitka Spruce wood","Non commercial","","","Slow","Yes","Troy, S et al., Water, Air, & Soil Pollution 225, 3 (2014) 1-15.","","600","","","82.0","0.42","1.82","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 600","Manure","Pig Manure","Non commercial","","","Slow","Yes","Troy, S et al., Water, Air, & Soil Pollution 225, 3 (2014) 1-15.","","600","","","62.7","2.67","2.60","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OP 500","Other/ Mixed","Orchard Prunings","Commercial","","Romagna Carbone s.n.c.","Slow","Yes","Baronti, S et al., European Journal of Agronomy 53 (2014) 38-44.","","500","","","77.81","0.91","","","9.8","","","","","","","","","","","97","","","","","","104","","","11900","","101","","","","","","23300","25000","28700","13900","268","333","",
"PL 550","Other/ Mixed","Poultry Litter","Non commercial","","","Slow","Yes","Rahman, L et al., Soil Research 52, 6 (2014) 604-619.","","550","","15","23","2.20","","","9.1","4.0","","","","","","","","110","","200","","","","8.8","","260","","","","","","","","","","","13000","","","16000","","","",
"WC 620","Wood","Mixed wood chips","Commercial","","Swiss Biochar","Slow","Yes","Cely, P et al., Solid Earth Discussions 6, 1 (2014) 849-868.","","620","7.87","87.71","","","","","10.19","1776","","","","","","","0.43","21","","15","4","","","18","","47","","","","","23.77","","14.88","332.138","BET Analysis","","","","","","","","",
"PSWH 500","Other/ Mixed","paper sludge and wheat husks","Commercial","","Sonnenerde","Slow","Yes","Cely, P et al., Solid Earth Discussions 6, 1 (2014) 849-868.","","500","34.85","59.90","","","","","9.40","2330","","","","","","","0.72","32","","37","24","","","30","","134","","","","","20.97","","22.43","92.6115","BET Analysis","","","","","","","","",
"SS 600","Sludge","Sewage Sludge","Commercial","","Pyreg","Slow","Yes","Cely, P et al., Solid Earth Discussions 6, 1 (2014) 849-868.","","600","73.55","25.15","","","","","7.66","3700","","","","","","","4.98","76","","406","141","","","78","","1350","","","","","24.19","","13.68","59.1572","BET Analysis","","","","","","","","",
"WS 450","Grass","wheat straw","Non commercial","","","Slow","Yes","Macdonald, L et al., Biology and Fertility of Soils 50, 7 (2014) 1035-1045.","","450","","","53.1","2.2","","","8.4","9.2","","","","","","","","","","8","","","","5","","36","","","382","","23.7","","","","","","33000","4000","2000","24000","","2439","",
"MNS 850","Nutshell","Macadamia nut shells","Non commercial","","","Flash","Yes","Cabrera, A et al., Science of The Total Environment 470–471 (2014) 438-443.","","850","","","77.7","0.6","","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"HW 540","Hard Wood","oak and Hickory","Non commercial","","","Slow","Yes","Cabrera, A et al., Science of The Total Environment 470–471 (2014) 438-443.","","540","","","73.3","0.3","","","6.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SD 400","Soft Wood","Cunninghamia Lanceolata sawdust","Non commercial","","","Slow","Yes","Shan, J et al., Chemosphere 107 (2014) 109-114.","","400","","","75.2","0.24","15.1","9.0","6.1","","","","","","","","","","","","","","","","","","","","","","","","","55.5","BET Analysis","","","","","","","","",
"Oak 650","Hard Wood","","Non commercial","","","Slow","Yes","Mukherjee, A et al., Science of The Total Environment 487 (2014) 26-36.","","650","4.3","","90","0.3","","","9.4","1.5","","","","","","","","","","","","","","","","","","","","","","","11","214","BET Analysis","","","","","","","","",
"PWC 450","Soft Wood","Pine woodchips","Non commercial","","","Slow","Yes","Brennan, A et al., Plant and Soil 379, 1-2 (2014) 351-360.","","450","","","83.71","0.36","","","7.52","0.256","","","","","","1.7","","","","134","","","","","","42","","","","","12.6","","","288","","","148","3316","574","1708","","200","",
"OT 450","Hard Wood","Olive tree prunings","Non commercial","","","Slow","Yes","Brennan, A et al., Plant and Soil 379, 1-2 (2014) 351-360.","","450","","","75.52","1.10","","","9.34","2.430","","","","","","6.1","","","","114","","","","","","24","","","","","36.6","","","265","","","1464","28524","2088","9159","","496","",
"BC 600","Grass","Bamboo chips","Non commercial","","","Slow","Yes","Dong, D et al., Journal of Soils and Sediments (2014) 1-10.","","600","","","83.20","0.59","2.28","","9.81","0.77","","","","","","","","","","","","","","","","","","","","","15.30","","","63.87","","","78","130","190","2610","","","",
"RS 600","Grass","Rice Straw","Non commercial","","","Slow","Yes","Dong, D et al., Journal of Soils and Sediments (2014) 1-10.","","600","","","51.30","","2.62","1.07","10.20","1.81","","","","","","","","","","","","","","","","","","","","","44.70","","","96.98","","","1670","3600","1220","3760","","","",
"RC 600","Hull","Rice Chaff","Non commercial","","","Slow","Yes","Yoo, G et al., Soil Sci. Soc. Am. J. 78, 3 (2014) 852-860.","","600","","","42.90","1.10","","","10.30","","","","","","","","","","","","","","","","","","","","329.5","","","","","","","","1520","2074","647.5","15950","521.4","595.2","",
"Miscanthus 350","Grass","","Non commercial","","","Slow","Yes","Mimmo, T et al., Bomass and Bioenergy, 62 (2014) 149-157.","","350","","","50.95","0.30","5.76","43.14","6.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Miscanthus 360","Grass","","Non commercial","","","Slow","Yes","Mimmo, T et al., Bomass and Bioenergy, 62 (2014) 149-157.","","360","","","51.83","0.32","5.91","42.09","7.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Miscanthus 370","Grass","","Non commercial","","","Slow","Yes","Mimmo, T et al., Bomass and Bioenergy, 62 (2014) 149-157.","","370","","","68.16","0.58","5.05","26.46","8.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Miscanthus 400","Grass","","Non commercial","","","Slow","Yes","Mimmo, T et al., Bomass and Bioenergy, 62 (2014) 149-157.","","400","","","69.84","0.64","4.65","25.11","8.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Miscanthus 450","Grass","","Non commercial","","","Slow","Yes","Mimmo, T et al., Bomass and Bioenergy, 62 (2014) 149-157.","","450","","","72.61","0.56","4.21","22.91","9.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 300","Manure","Poultry Manure","Non commercial","","","Slow","Yes","Gunes, A et al., Soil Use and Management 30, 2 (2014) 182-188.","","300","","","","3.71","","","","","","","","","","","","","","1038","","7.50","","","","955","","","4700","","","","","","","","19000","31700","10200","58800","","2219","",
"PM 350","Manure","Poultry Manure","Non commercial","","","Slow with 30 minute heating time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","350","","","32","2.1","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 350","Manure","Poultry manure","Non commercial","","","Slow with 60 minute heating time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","350","","","34","2.4","2.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 350","Manure","poultry manure","Non commercial","","","Slow with 90 minute heating time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","350","","","30","2.1","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 350","Manure","poultry manure","Non commercial","","","slow with 120 minute heating time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","350","","","31","2.3","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 450","Manure","poultry manure","Non commercial","","","slow with 30 minute residence time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","450","","","27","1.62","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 450","Manure","poultry manure","Non commercial","","","slow with 60 minute heating time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","450","","","30","1.75","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 450","Manure","poultry manure","Non commercial","","","slow with 90 minute heating time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","450","","","29","1.88","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 450","Manure","poultry manure","Non commercial","","","Slow with 120 minute heating time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","450","","","24","1.5","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 600","Manure","poultry manure","Non commercial","","","Slow with 30 minute heating time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","600","","","26","1.2","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 600","Manure","poultry manure","Non commercial","","","Slow with 60 minute heating time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","600","","","24","1.08","0.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 600","Manure","poultry manure","Non commercial","","","Slow with 120 minute residence time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","600","","","25","1.24","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PM 600","Manure","poultry manure","Non commercial","","","Slow with 90 minute heating time","Yes","Cimo, G et al., Journal of Agricultural and Food Chemistry 62, 8 (2014) 1912-1918.","","600","","","24","1.23","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
